ticker,enabled,group,max_price,note
NRG,True,SP500,10000,
NUE,True,SP500,10000,
NVDA,True,SP500,10000,
NVR,True,SP500,10000,
NXPI,True,SP500,10000,
ORLY,True,SP500,10000,
OXY,True,SP500,10000,
ODFL,True,SP500,10000,
OMC,True,SP500,10000,
ON,True,SP500,10000,
OKE,True,SP500,10000,
ORCL,True,SP500,10000,
OTIS,True,SP500,10000,
PCAR,True,SP500,10000,
PKG,True,SP500,10000,
PLTR,True,SP500,10000,
PANW,True,SP500,10000,
PSKY,True,SP500,10000,
PH,True,SP500,10000,
PAYX,True,SP500,10000,
PAYC,True,SP500,10000,
PYPL,True,SP500,10000,
PNR,True,SP500,10000,
PEP,True,SP500,10000,
PFE,True,SP500,10000,
PCG,True,SP500,10000,
PM,True,SP500,10000,
PSX,True,SP500,10000,
PNW,True,SP500,10000,
PNC,True,SP500,10000,
POOL,True,SP500,10000,
PPG,True,SP500,10000,
PPL,True,SP500,10000,
PFG,True,SP500,10000,
PG,True,SP500,10000,
PGR,True,SP500,10000,
PLD,True,SP500,10000,
PRU,True,SP500,10000,
PEG,True,SP500,10000,
PTC,True,SP500,10000,
PSA,True,SP500,10000,
PHM,True,SP500,10000,
PWR,True,SP500,10000,
QCOM,True,SP500,10000,
DGX,True,SP500,10000,
RL,True,SP500,10000,
RJF,True,SP500,10000,
RTX,True,SP500,10000,
O,True,SP500,10000,
REG,True,SP500,10000,
REGN,True,SP500,10000,
RF,True,SP500,10000,
RSG,True,SP500,10000,
RMD,True,SP500,10000,
RVTY,True,SP500,10000,
ROK,True,SP500,10000,
ROL,True,SP500,10000,
ROP,True,SP500,10000,
ROST,True,SP500,10000,
RCL,True,SP500,10000,
SPGI,True,SP500,10000,
CRM,True,SP500,10000,
SBAC,True,SP500,10000,
SLB,True,SP500,10000,
STX,True,SP500,10000,
SRE,True,SP500,10000,
NOW,True,SP500,10000,
SHW,True,SP500,10000,
SPG,True,SP500,10000,
SWKS,True,SP500,10000,
SJM,True,SP500,10000,
SW,True,SP500,10000,
SNA,True,SP500,10000,
SOLV,True,SP500,10000,
SO,True,SP500,10000,
LUV,True,SP500,10000,
SWK,True,SP500,10000,
SBUX,True,SP500,10000,
STT,True,SP500,10000,
STLD,True,SP500,10000,
STE,True,SP500,10000,
SYK,True,SP500,10000,
SMCI,True,SP500,10000,
SYF,True,SP500,10000,
SNPS,True,SP500,10000,
SYY,True,SP500,10000,
TMUS,True,SP500,10000,
TROW,True,SP500,10000,
TTWO,True,SP500,10000,
TPR,True,SP500,10000,
TRGP,True,SP500,10000,
TGT,True,SP500,10000,
TEL,True,SP500,10000,
TDY,True,SP500,10000,
TER,True,SP500,10000,
TSLA,True,SP500,10000,
TXN,True,SP500,10000,
TPL,True,SP500,10000,
TXT,True,SP500,10000,
TMO,True,SP500,10000,
TJX,True,SP500,10000,
TKO,True,SP500,10000,
TTD,True,SP500,10000,
TSCO,True,SP500,10000,
TT,True,SP500,10000,
TDG,True,SP500,10000,
TRV,True,SP500,10000,
TRMB,True,SP500,10000,
TFC,True,SP500,10000,
TYL,True,SP500,10000,
TSN,True,SP500,10000,
USB,True,SP500,10000,
UBER,True,SP500,10000,
UDR,True,SP500,10000,
ULTA,True,SP500,10000,
UNP,True,SP500,10000,
UAL,True,SP500,10000,
UPS,True,SP500,10000,
URI,True,SP500,10000,
UNH,True,SP500,10000,
UHS,True,SP500,10000,
VLO,True,SP500,10000,
VTR,True,SP500,10000,
VLTO,True,SP500,10000,
VRSN,True,SP500,10000,
VRSK,True,SP500,10000,
VZ,True,SP500,10000,
VRTX,True,SP500,10000,
VTRS,True,SP500,10000,
VICI,True,SP500,10000,
V,True,SP500,10000,
VST,True,SP500,10000,
VMC,True,SP500,10000,
WRB,True,SP500,10000,
GWW,True,SP500,10000,
WAB,True,SP500,10000,
WBA,True,SP500,10000,
WMT,True,SP500,10000,
DIS,True,SP500,10000,
WBD,True,SP500,10000,
WM,True,SP500,10000,
WAT,True,SP500,10000,
WEC,True,SP500,10000,
WFC,True,SP500,10000,
WELL,True,SP500,10000,
WST,True,SP500,10000,
WDC,True,SP500,10000,
WY,True,SP500,10000,
WSM,True,SP500,10000,
WMB,True,SP500,10000,
WTW,True,SP500,10000,
WDAY,True,SP500,10000,
WYNN,True,SP500,10000,
XEL,True,SP500,10000,
XYL,True,SP500,10000,
YUM,True,SP500,10000,
ZBRA,True,SP500,10000,
ZBH,True,SP500,10000,
ZTS,True,SP500,10000,
