code,ticker,enabled,group,max_price,note
8830,8830.T,True,TOPIX Large70,200000,
8876,8876.T,True,TOPIX Mid400,200000,
9001,9001.T,True,TOPIX Mid400,200000,
9003,9003.T,True,TOPIX Mid400,200000,
9005,9005.T,True,TOPIX Mid400,200000,
9006,9006.T,True,TOPIX Mid400,200000,
9007,9007.T,True,TOPIX Mid400,200000,
9008,9008.T,True,TOPIX Mid400,200000,
9009,9009.T,True,TOPIX Mid400,200000,
9020,9020.T,True,TOPIX Large70,200000,
9021,9021.T,True,TOPIX Large70,200000,
9022,9022.T,True,TOPIX Large70,200000,
9023,9023.T,True,TOPIX Mid400,200000,
9024,9024.T,True,TOPIX Mid400,200000,
9031,9031.T,True,TOPIX Mid400,200000,
9041,9041.T,True,TOPIX Mid400,200000,
9042,9042.T,True,TOPIX Mid400,200000,
9044,9044.T,True,TOPIX Mid400,200000,
9045,9045.T,True,TOPIX Mid400,200000,
9048,9048.T,True,TOPIX Mid400,200000,
9064,9064.T,True,TOPIX Mid400,200000,
9065,9065.T,True,TOPIX Mid400,200000,
9069,9069.T,True,TOPIX Mid400,200000,
9072,9072.T,True,TOPIX Mid400,200000,
9076,9076.T,True,TOPIX Mid400,200000,
9101,9101.T,True,TOPIX Large70,200000,
9104,9104.T,True,TOPIX Large70,200000,
9107,9107.T,True,TOPIX Mid400,200000,
9142,9142.T,True,TOPIX Mid400,200000,
9143,9143.T,True,TOPIX Mid400,200000,
9147,9147.T,True,TOPIX Mid400,200000,
9201,9201.T,True,TOPIX Mid400,200000,
9202,9202.T,True,TOPIX Large70,200000,
9301,9301.T,True,TOPIX Mid400,200000,
9302,9302.T,True,TOPIX Mid400,200000,
9364,9364.T,True,TOPIX Mid400,200000,
9401,9401.T,True,TOPIX Mid400,200000,
9404,9404.T,True,TOPIX Mid400,200000,
9432,9432.T,True,TOPIX Core30,200000,
9433,9433.T,True,TOPIX Core30,200000,
9434,9434.T,True,TOPIX Core30,200000,
9435,9435.T,True,TOPIX Mid400,200000,
9449,9449.T,True,TOPIX Mid400,200000,
9468,9468.T,True,TOPIX Mid400,200000,
9501,9501.T,True,TOPIX Mid400,200000,
9502,9502.T,True,TOPIX Mid400,200000,
9503,9503.T,True,TOPIX Mid400,200000,
9504,9504.T,True,TOPIX Mid400,200000,
9505,9505.T,True,TOPIX Mid400,200000,
9506,9506.T,True,TOPIX Mid400,200000,
9507,9507.T,True,TOPIX Mid400,200000,
9508,9508.T,True,TOPIX Mid400,200000,
